"team_id","team_name","year","Pts/Gm","Opp. Pts/Gm","FG%","Opp. FG%","2Pt%","Opp. 2Pt%","3Pt%","Opp. 3Pt%","FT%","Opp. FT%","TS%","EffFG%","%from2","%from3","FGAtt/Gm","Opp. FGAtt/Gm","FTAtt/Gm","Opp. FTAtt/Gm","3PtAtt/Gm","Opp. 3PtAtt/Gm","Fouls/Gm","Opp. Fouls/Gm","OReb%","DReb%","Blk%","Opp. Blk%","Stls/Gm","Opp. Stls/Gm","TOs/Gm","Opp. TOs/Gm","Asts/Gm","Opp. Asts/Gm","Pos/Gm","TR Power","TR Home Power","TR Away Power","TR Neutral Power","TR SOS","BenchPts/Gm","FastbreakPts/Gm","Returning Minutes","Returning Pts","KenPom Eff","KenPom Off Eff","KenPom Def Eff","KenPom AdjTempo","KenPom SOS","KenPom Off SOS","KenPom Def SOS","BT Eff Height","BT WAB","BT Power","BT Experience","BT Talent"
"Abilene Christian_2015","Abilene Christian","2015",61.000,71.900,40.500,49.200,42.000,55.200,37.800,37.000,72.800,68.700,101.600,47.300,63.800,36.200,52.900,50.900,15.000,22.700,19.200,16.700,20.600,16.500,21.100,67.000,2.300,8.000,5.900,5.900,11.900,12.900,12.800,13.500,66.100,-14.800,-12.400,-16.300,-12.900,-9.000,NULL,NULL,NULL,NULL,20.630,93.200,113.800,63.800,-5.960,102.000,108.000,78.229,-16.532,0.094,1.960,0.200
"Abilene Christian_2016","Abilene Christian","2016",69.900,76.300,44.200,49.300,48.400,54.200,36.300,36.900,70.700,70.900,108.700,50.500,65.000,35.000,53.900,53.700,21.700,25.000,18.900,15.100,22.400,19.700,22.900,74.900,4.600,6.100,6.700,5.100,12.900,12.900,13.400,13.400,71.200,-11.200,-9.400,-12.100,-15.200,-9.000,NULL,NULL,NULL,NULL,15.240,97.100,112.300,67.800,-7.760,101.400,109.200,78.959,-14.329,0.158,1.683,0.200
"Abilene Christian_2017","Abilene Christian","2017",67.900,72.600,45.800,46.200,50.700,52.100,37.100,36.100,64.400,66.700,109.300,52.500,64.200,35.800,53.300,53.700,18.500,23.800,19.100,19.600,22.200,17.200,21.400,70.800,5.100,5.900,7.000,6.000,13.600,13.600,14.500,14.800,70.600,-10.900,-14.200,-8.000,0.000,-8.600,NULL,NULL,NULL,NULL,11.860,97.000,108.800,65.800,-5.960,101.700,107.600,79.077,-12.325,0.250,1.134,0.851
"Abilene Christian_2018","Abilene Christian","2018",70.800,73.100,44.800,45.300,51.900,52.300,31.800,33.200,70.600,71.500,107.000,50.400,64.600,35.400,57.500,54.700,18.100,23.600,20.400,19.900,21.000,17.400,25.100,73.200,6.900,5.200,7.300,6.600,13.900,12.100,14.500,15.400,72.900,-6.000,-7.000,-3.900,-11.500,-6.500,NULL,NULL,NULL,NULL,8.660,98.200,106.800,68.600,-6.520,101.300,107.800,78.909,-11.323,0.243,1.989,1.172
"Abilene Christian_2019","Abilene Christian","2019",70.800,65.400,45.400,44.300,49.500,49.800,37.700,33.300,71.900,72.500,110.500,51.900,65.500,34.500,55.200,51.300,18.800,19.600,19.000,17.000,19.000,18.000,26.000,73.400,5.000,5.300,8.000,5.500,14.400,11.000,11.600,15.600,68.100,-0.300,1.100,0.500,0.900,-5.900,NULL,NULL,NULL,NULL,1.350,103.400,102.000,66.100,-8.670,100.000,108.700,79.024,-2.579,0.512,2.044,1.775
"Abilene Christian_2020","Abilene Christian","2020",72.800,68.800,43.900,45.300,51.000,52.300,31.500,30.900,74.300,73.400,108.600,49.600,63.300,36.700,56.100,50.300,23.000,24.600,20.600,16.400,22.000,20.100,26.600,72.200,5.300,7.100,9.000,7.200,13.600,10.400,14.700,18.700,73.100,-1.700,1.900,-2.400,0.000,-5.900,NULL,NULL,NULL,NULL,1.140,99.100,100.200,68.400,-7.050,99.600,106.600,79.864,-6.516,0.583,1.825,1.723
"Abilene Christian_2021","Abilene Christian","2021",74.200,61.600,44.700,40.900,49.300,46.800,36.400,29.700,69.500,68.800,108.300,51.200,64.000,36.000,59.300,51.200,19.400,21.000,21.300,17.600,19.400,19.400,29.500,74.300,5.600,6.700,9.200,6.900,17.600,10.400,13.600,18.800,72.300,6.000,7.600,0.100,12.400,-2.300,NULL,NULL,NULL,NULL,10.110,101.700,91.600,69.300,-5.430,99.400,104.800,79.765,-1.171,0.693,2.228,0.200
"Abilene Christian_2022","Abilene Christian","2022",73.900,69.500,42.500,45.000,48.400,52.000,32.200,34.600,74.900,72.100,106.300,48.400,63.700,36.300,58.600,49.900,23.000,24.500,21.300,20.000,22.400,21.400,25.700,71.200,3.500,6.600,10.300,5.400,14.200,11.600,12.700,20.100,73.500,2.500,4.200,1.600,4.100,-1.900,NULL,NULL,NULL,NULL,3.380,104.100,100.700,70.300,-2.210,100.600,102.800,78.003,-4.112,0.637,2.412,0.200
"Abilene Christian_2023","Abilene Christian","2023",71.300,74.900,43.500,50.100,48.100,56.200,34.300,38.100,72.900,71.100,105.800,49.200,66.600,33.400,58.400,51.500,18.800,23.500,19.500,17.300,20.900,19.200,23.200,72.800,3.800,5.600,8.000,5.400,14.800,13.500,12.200,16.500,71.900,-1.000,1.900,-1.000,-11.500,-1.100,NULL,NULL,NULL,NULL,1.470,105.700,107.100,69.000,2.140,105.200,103.000,78.161,-10.222,0.442,2.374,0.200
"Abilene Christian_2024","Abilene Christian","2024",70.700,73.700,42.600,46.500,45.700,53.000,34.100,32.500,73.100,69.100,103.400,47.100,73.600,26.400,57.900,56.300,22.000,22.500,15.300,17.800,19.400,18.800,23.100,70.500,3.900,5.900,7.700,6.600,12.000,12.400,12.600,14.500,72.800,-3.000,-3.200,-4.200,0.400,-1.400,NULL,NULL,NULL,NULL,3.860,101.800,105.600,68.600,0.500,104.800,104.300,78.977,-11.122,0.400,2.163,4.892
